Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2019:Q1,Next40,30219395,36843798,12644751,2349150,2942868,11465086,1566210,5875733,6624404,4983795,1416287,224322
2019:Q1,Bottom50,1625048,6438556,3240466,1296788,164618,752458,168550,815676,4813509,2293668,2237211,282630
2019:Q2,Top1,32424946,33224185,4348755,761801,14189484,1644784,6139696,6139665,799239,521615,64704,212920
2019:Q2,Next9,40888105,43772041,8947804,1189735,9611878,13082967,3794830,7144827,2883936,2466036,273550,144350
2019:Q2,Next40,30640838,37344404,12742975,2375444,3020471,11648477,1562696,5994341,6703566,5024844,1438351,240371
2019:Q2,Bottom50,1706715,6583642,3335088,1318630,166993,773128,178862,810941,4876926,2304374,2275443,297109
2019:Q3,Top1,32356370,33162991,4324496,737963,14104101,1608327,6207924,6180180,806621,525747,63085,217789
2019:Q3,Next9,41270977,44185225,9012393,1230219,9597383,13226176,3934965,7184089,2914249,2507074,273954,133221
2019:Q3,Next40,30798206,37569781,12806704,2395057,3013653,11756142,1569725,6028500,6771575,5066132,1461856,243587
2019:Q3,Bottom50,1836496,6773424,3513955,1328937,162041,781732,185281,801478,4936928,2313898,2325254,297776
2019:Q4,Top1,33829436,34631099,4347477,741036,15251377,1578047,6296471,6416690,801662,528658,60515,212489
2019:Q4,Next9,42577642,45534079,9101186,1250500,10295616,13580053,3846339,7460384,2956437,2532286,278806,145345
2019:Q4,Next40,31610167,38446313,12934172,2399199,3212951,12019472,1615443,6265076,6836146,5090706,1491078,254362
2019:Q4,Bottom50,1959008,6959587,3610252,1339806,176705,816509,181277,835038,5000579,2329312,2361792,309475
2020:Q1,Top1,30734169,31535599,4454658,721184,11698549,1589172,6377894,6694143,801430,530872,65253,205305
2020:Q1,Next9,40087179,43077982,9252107,1250653,8170695,12904434,3895924,7604169,2990803,2559500,274175,157128
2020:Q1,Next40,31036248,37888983,13274571,2443712,2657517,11539831,1623743,6349609,6852734,5107227,1465962,279545
2020:Q1,Bottom50,1855209,6871317,3643025,1343165,131881,717537,181053,854656,5016108,2343761,2342431,329916
2020:Q2,Top1,33893498,34698478,4612951,729081,14404558,1566687,6476241,6908960,804980,533085,66391,205504
2020:Q2,Next9,42836942,45864150,9387177,1262210,9806767,13616758,3923137,7868101,3027207,2609573,269864,147770
2020:Q2,Next40,32804571,39638272,13732587,2420182,3111880,12069452,1652109,6652062,6833700,5116608,1443848,273244
2020:Q2,Bottom50,1965750,6967770,3587060,1349189,166365,786482,182885,895790,5002021,2363119,2317168,321734
2020:Q3,Top1,35654206,36452020,4728080,749079,15887472,1548409,6696476,6842504,797813,538526,66771,192516
2020:Q3,Next9,44209749,47358142,9575788,1304867,10689513,13994832,3892507,7900635,3148392,2671526,271893,204973
2020:Q3,Next40,33826771,40718095,14103784,2505507,3346921,12332142,1708507,6721233,6891324,5162325,1459140,269859
2020:Q3,Bottom50,2062338,7156627,3640021,1418322,185318,820161,178514,914290,5094289,2408090,2344879,341320
2020:Q4,Top1,39169913,39952249,4859207,764051,18607150,1533030,6909701,7279110,782336,543950,64142,174244
2020:Q4,Next9,47185939,50463037,9840457,1333262,12305470,14611298,4063668,8308882,3277098,2724729,275127,277242
2020:Q4,Next40,35412827,42382312,14539771,2532474,3776223,12779325,1733565,7020955,6969486,5207886,1478739,282861
2020:Q4,Bottom50,2273030,7460163,3749684,1451229,220130,876243,184259,978618,5187133,2443168,2366919,377046
2021:Q1,Top1,41338744,42117092,5043488,791838,20226372,1498935,7179378,7377081,778349,549980,64472,163897
2021:Q1,Next9,48769673,52184982,10206851,1362867,13270885,14846884,4017779,8479717,3415309,2800623,272872,341814
2021:Q1,Next40,36663520,43663028,15085246,2604227,4034392,12943964,1800730,7194469,6999508,5240968,1468880,289660
2021:Q1,Bottom50,2472299,7690450,3843443,1508144,240819,909893,177091,1011060,5218151,2449474,2360994,407683
2021:Q2,Top1,43445082,44226801,5118043,840914,21878987,1462666,7670157,7256034,781718,558433,62446,160839
2021:Q2,Next9,50640954,54132553,10747361,1430475,14247440,15279874,4067549,8359853,3491599,2855830,279722,356047
2021:Q2,Next40,37650310,44780108,15434653,2777462,4291519,13244876,1901188,7130410,7129798,5328400,1507708,293690
2021:Q2,Bottom50,2960302,8306519,4249647,1640065,262047,955878,171302,1027581,5346217,2521120,2409725,415372
2021:Q3,Top1,44147898,44940706,5139633,865421,21828066,1457096,8231931,7418559,792808,567109,63706,161993
2021:Q3,Next9,51444339,54977621,11265880,1477201,14221403,15327792,4202677,8482668,3533282,2909356,284701,339225
2021:Q3,Next40,38137802,45397997,15675903,2904672,4286326,13278174,1991371,7261550,7260194,5421081,1536087,303026
2021:Q3,Bottom50,3421100,8888365,4730745,1726895,261335,958549,166201,1044640,5467265,2599751,2453572,413942
2021:Q4,Top1,45862338,46650789,5268391,902115,22949577,1359005,8571429,7600272,788452,576322,62051,150079
2021:Q4,Next9,53337532,56929747,11691531,1539343,14885637,15803619,4347534,8662082,3592215,2960132,292108,339975
2021:Q4,Next40,39254556,46693103,16152066,3022036,4461946,13571227,2039321,7446508,7438547,5522076,1576638,339833
2021:Q4,Bottom50,3731118,9351615,4993494,1824193,275722,1018021,166786,1073399,5620497,2683983,2503581,432933
